unit,location,since,elapsed_h_m_s,elapsed_timedelta,elapsed_seconds,elapsed_hours,since_time_parsed
BR023,PER LD023,9:48:18,6:06:42,0 days 06:06:42,22002.0,6.111666666666666,1900-01-01 09:48:18
BR024,UNMANNED,15:00:53,0:54:07,0 days 00:54:07,3247.0,0.9019444444444444,1900-01-01 15:00:53
EN018,FLEET,9:16:05,6:38:55,0 days 06:38:55,23935.0,6.648611111111111,1900-01-01 09:16:05
EN019,MANPOWER,15:34:37,0:20:23,0 days 00:20:23,1223.0,0.3397222222222222,1900-01-01 15:34:37
MD022,MECH,14:39:25,1:15:35,0 days 01:15:35,4535.0,1.2597222222222222,1900-01-01 14:39:25
MR011,FLEET,12:55:48,2:59:12,0 days 02:59:12,10752.0,2.986666666666667,1900-01-01 12:55:48
MR025,MECH,8:19:59,7:35:01,0 days 07:35:01,27301.0,7.583611111111111,1900-01-01 08:19:59
PM002,"6150 BURNETT ST, LKN",15:19:12,0:35:48,0 days 00:35:48,2148.0,0.5966666666666667,1900-01-01 15:19:12
PM003,"5435 LEWELLYN RD, KAT",14:51:34,1:03:26,0 days 01:03:26,3806.0,1.0572222222222223,1900-01-01 14:51:34
SQ007,MECHANICAL,9:35:38,6:19:22,0 days 06:19:22,22762.0,6.322777777777778,1900-01-01 09:35:38
