unit,cad_number,agency,call_type,origunit,unit_enroute_date,priority,disposition,primary_unit,beat,rep_dist,call_created_time,call_entry_date,call_entry_time,unit_dispatch_date,unit_dispatch_time,unit_enroute_time,unit_onscene_date,unit_onscene_time,turnout_seconds,call,call_no2,arrivalstatus,report_category,turnout_compliance,battalion,unit_type,unit_enroute_date_clean,unit_enroute_date_parsed,call_entry_date_clean,call_entry_date_parsed,unit_dispatch_date_clean,unit_dispatch_date_parsed,unit_onscene_date_clean,unit_onscene_date_parsed,call_created_time_time_string,call_created_time_numeric,call_entry_time_time_string,call_entry_time_numeric,unit_dispatch_time_time_string,unit_dispatch_time_numeric,unit_enroute_time_time_string,unit_enroute_time_numeric,unit_onscene_time_time_string,unit_onscene_time_numeric,turnout_seconds_numeric,turnout_minutes,turnout_compliance_clean,met_turnout,dispatch_date,dispatch_day,dispatch_month,dispatch_hour
BC002,S100000001,PCFR,29D02P,BC002,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93642.0,2/9/26 0:00,94110.0,48.0,S100000001,S100000001,AOS,EMS,Met,Battalion 2,Battalion Chief,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:33:14,93314,09:34:12,93412,09:35:54,93554,09:36:42,93642.0,09:41:10,94110.0,48.0,0.8,Met,True,2026-02-09,Monday,February,9
BC006,S100000002,PCFR,71,BC006,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91509.0,2/9/26 0:00,93054.0,18.0,S100000002,S100000002,AOS,Fire,Met,Battalion 6,Battalion Chief,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:13:26,91326,09:14:10,91410,09:14:51,91451,09:15:09,91509.0,09:30:54,93054.0,18.0,0.3,Met,True,2026-02-09,Monday,February,9
BR004,S100000003,PCFR,OOS,BR004,2/9/26 0:00,OS,,BR004,,,102506,2/9/26 0:00,102506,2/9/26 0:00,102506,102506.0,2/9/26 0:00,102506.0,0.0,S100000003,S100000003,AOS,Omit,,Battalion 6,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:25:06,102506,10:25:06,102506,10:25:06,102506,10:25:06,102506.0,10:25:06,102506.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
BR004,S100000004,PCFR,71,BR004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91631,91855.0,2/9/26 0:00,93803.0,144.0,S100000004,S100000004,AOS,Fire,Missed,Battalion 6,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:13:26,91326,09:14:10,91410,09:16:31,91631,09:18:55,91855.0,09:38:03,93803.0,144.0,2.4,Missed,False,2026-02-09,Monday,February,9
BR007,S100000005,PCFR,OOS,BR007,2/9/26 0:00,OS,,BR007,,,105742,2/9/26 0:00,105742,2/9/26 0:00,105742,105742.0,2/9/26 0:00,105742.0,0.0,S100000005,S100000005,AOS,Omit,,Battalion 2,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:57:42,105742,10:57:42,105742,10:57:42,105742,10:57:42,105742.0,10:57:42,105742.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
BR012,S100000006,PCFR,OOS,BR012,2/9/26 0:00,OS,,BR012,,,103916,2/9/26 0:00,103916,2/9/26 0:00,103916,103916.0,2/9/26 0:00,103916.0,0.0,S100000006,S100000006,AOS,Omit,,Battalion 7,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:39:16,103916,10:39:16,103916,10:39:16,103916,10:39:16,103916.0,10:39:16,103916.0,0.0,0.0,Nan,False,2026-02-09,Monday,February,10
BR015,S100000007,PCFR,71,BR015,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91902,91902.0,2/9/26 0:00,94855.0,0.0,S100000007,S100000007,AOS,Fire,Met,Battalion 6,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:13:26,91326,09:14:10,91410,09:19:02,91902,09:19:02,91902.0,09:48:55,94855.0,0.0,0.0,Met,True,2026-02-09,Monday,February,9
BR021,S100000008,PCFR,82,BR021,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105227.0,2/9/26 0:00,105550.0,57.0,S100000008,S100000008,AOS,Fire,Met,Battalion 7,Brush Truck,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:49:49,104949,10:50:49,105049,10:51:30,105130,10:52:27,105227.0,10:55:50,105550.0,57.0,0.95,Met,True,2026-02-09,Monday,February,10
EN002,S100000009,PCFR,60B03O,EN002,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90100,90139.0,2/9/26 0:00,91211.0,39.0,S100000009,S100000009,AOS,Fire,Met,Battalion 6,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:00:07,90007,09:00:29,90029,09:01:00,90100,09:01:39,90139.0,09:12:11,91211.0,39.0,0.65,Met,True,2026-02-09,Monday,February,9
EN002,S100000010,PCFR,26A02,EN002,2/9/26 0:00,A1,,MR002,2,F02A,101236,2/9/26 0:00,101441,2/9/26 0:00,101513,101552.0,2/9/26 0:00,102815.0,39.0,S100000010,S100000010,AOS,EMS,Met,Battalion 6,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:12:36,101236,10:14:41,101441,10:15:13,101513,10:15:52,101552.0,10:28:15,102815.0,39.0,0.65,Met,True,2026-02-09,Monday,February,10
EN002,S100000011,PCFR,26A05,EN002,2/9/26 0:00,A1,,MD202,2,F02F,105906,2/9/26 0:00,105940,2/9/26 0:00,110205,110213.0,2/9/26 0:00,111427.0,8.0,S100000011,S100000011,AOS,EMS,Met,Battalion 6,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:59:06,105906,10:59:40,105940,11:02:05,110205,11:02:13,110213.0,11:14:27,111427.0,8.0,0.13333333333333333,Met,True,2026-02-09,Monday,February,11
EN004,S100000012,PCFR,71,EN004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91546.0,2/9/26 0:00,92719.0,55.0,S100000012,S100000012,AOS,Fire,Met,Battalion 6,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,09:13:26,91326,09:14:10,91410,09:14:51,91451,09:15:46,91546.0,09:27:19,92719.0,55.0,0.9166666666666666,Met,True,2026-02-09,Monday,February,9
EN005,S100000013,PCFR,68C01,EN005,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,105941,110000.0,2/9/26 0:00,111004.0,19.0,S100000013,S100000013,AOS,Fire,Met,Battalion 4,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:56:56,105656,10:57:22,105722,10:59:41,105941,11:00:00,110000.0,11:10:04,111004.0,19.0,0.31666666666666665,Met,True,2026-02-09,Monday,February,10
EN005,S100000014,PCFR,17A04G,EN005,2/9/26 0:00,A1,COM,MR005,5,F05C,100734,2/9/26 0:00,100749,2/9/26 0:00,100816,100820.0,2/9/26 0:00,101648.0,4.0,S100000014,S100000014,AOS,EMS,Met,Battalion 4,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:07:34,100734,10:07:49,100749,10:08:16,100816,10:08:20,100820.0,10:16:48,101648.0,4.0,0.06666666666666667,Met,True,2026-02-09,Monday,February,10
EN006,S100000015,PCFR,26A08,EN006,2/9/26 0:00,A1,COM,MR006,6,F06A,81111,2/9/26 0:00,81239,2/9/26 0:00,81309,81329.0,2/9/26 0:00,82959.0,20.0,S100000015,S100000015,AOS,EMS,Met,Battalion 1,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,08:11:11,81111,08:12:39,81239,08:13:09,81309,08:13:29,81329.0,08:29:59,82959.0,20.0,0.3333333333333333,Met,True,2026-02-09,Monday,February,8
EN006,S100000016,PCFR,01C05,EN006,2/9/26 0:00,C1,,MR006,6,F06A,103952,2/9/26 0:00,104027,2/9/26 0:00,104057,104110.0,2/9/26 0:00,105143.0,13.0,S100000016,S100000016,AOS,EMS,Met,Battalion 1,Engine,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,2/9/26,2026-02-09,10:39:52,103952,10:40:27,104027,10:40:57,104057,10:41:10,104110.0,10:51:43,105143.0,13.0,0.21666666666666667,Met,True,2026-02-09,Monday,February,10
