Unit_ID,Call_No,AGENCY,CALL_TYPE_FINAL,OrigUnit,UNIT_enroute_DATE,PRIORITY,DISPOSITION,PRIMARY_UNIT,BEAT,REP_DIST,CALL_CREATED_TIME,CALL_ENTRY_DATE,CALL_ENTRY_TIME,UNIT_DISPATCH_DATE,UNIT_DISPATCH_TIME,UNIT_ENROUTE_TIME,UNIT_ONSCENE_DATE,UNIT_ONSCENE_TIME,TS_UNIT_TURNOUT,Call#,Call_No2,ArrivalStatus,RptCategory,TurnoutCompliance,BattalionName,Unit Type
BC002,S100000001,PCFR,29D02P,BC002,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93642,2/9/26 0:00,94110,48,S100000001,S100000001,AOS,EMS,Met,Battalion 2,Battalion Chief
BC006,S100000002,PCFR,71,BC006,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91509,2/9/26 0:00,93054,18,S100000002,S100000002,AOS,Fire,Met,Battalion 6,Battalion Chief
BR004,S100000003,PCFR,OOS,BR004,2/9/26 0:00,OS,,BR004,,,102506,2/9/26 0:00,102506,2/9/26 0:00,102506,102506,2/9/26 0:00,102506,0,S100000003,S100000003,AOS,Omit,,Battalion 6,Brush Truck
BR004,S100000004,PCFR,71,BR004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91631,91855,2/9/26 0:00,93803,144,S100000004,S100000004,AOS,Fire,Missed,Battalion 6,Brush Truck
BR007,S100000005,PCFR,OOS,BR007,2/9/26 0:00,OS,,BR007,,,105742,2/9/26 0:00,105742,2/9/26 0:00,105742,105742,2/9/26 0:00,105742,0,S100000005,S100000005,AOS,Omit,,Battalion 2,Brush Truck
BR012,S100000006,PCFR,OOS,BR012,2/9/26 0:00,OS,,BR012,,,103916,2/9/26 0:00,103916,2/9/26 0:00,103916,103916,2/9/26 0:00,103916,0,S100000006,S100000006,AOS,Omit,,Battalion 7,Brush Truck
BR015,S100000007,PCFR,71,BR015,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91902,91902,2/9/26 0:00,94855,0,S100000007,S100000007,AOS,Fire,Met,Battalion 6,Brush Truck
BR021,S100000008,PCFR,82,BR021,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105227,2/9/26 0:00,105550,57,S100000008,S100000008,AOS,Fire,Met,Battalion 7,Brush Truck
EN002,S100000009,PCFR,60B03O,EN002,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90100,90139,2/9/26 0:00,91211,39,S100000009,S100000009,AOS,Fire,Met,Battalion 6,Engine
EN002,S100000010,PCFR,26A02,EN002,2/9/26 0:00,A1,,MR002,2,F02A,101236,2/9/26 0:00,101441,2/9/26 0:00,101513,101552,2/9/26 0:00,102815,39,S100000010,S100000010,AOS,EMS,Met,Battalion 6,Engine
